category,name,url,ingredients
Night Cream,Dot & Key Retinol + Ceramide Sleep Treatment Anti-Ageing Night Cream For Fine Lines & Wrinkles,https://www.nykaa.com/dot-key-glow-night-reset-retinol-ceramide-cream/p/2680224,"Key Ingredients:Hibiscus: A potent AHA,  it helps to exfoliate the skin and control its oil production. It also clears clogged pores, and promotes fresher, younger, and smoother looking skin. Sea Buckthorn Berry: Rich in vitamin E, it deeply hydrates and plumps, helping the skin maintain optimum moistureEvening Primrose Oil: Helps to soothe and moisturize the skin, while improving elasticity and promoting a healthy, clear, rejuvenated complexion.Marula Oil: High in antioxidants, essential fatty acids, and amino acids, it is extremely beneficial for oily, acne-prone, dry, and aging skinRetinol: A form of vitamin A, it helps fight acne, reduce wrinkles, stimulate collagen, and promote cellular turnoverCeramide: Helps prevent environmental damage and locks moisture into your skin, which helps prevent dryness and irritationHyaluronic Acid: Immensely hydrates skin to correct sunken under eyes. Makes skin look plump, fresh and supple"
Night Cream,"Olay Retinol 24 Max Anti Ageing Night Cream, Visibly Reduces Wrinkles In 7 Nights, Fragrance Free",https://www.nykaa.com/olay-retinol24-max-night-moisturiser/p/15007643,"Water, Dimethicone, Glycerin, Tapioca Starch,Dimethicone Crosspolymer, Polyacrylamide, C13-14 Isoparaffin, RetinylPropionate, Dmdm Hydantoin, Laureth-4, Polysorbate 20, Acrylates/C10-30Alkyl Acrylate Crosspolymer, Laureth-7, Dimethiconol,Polymethylsilsesquioxane, Aminomethyl Propanol, Titanium Dioxide, DisodiumEdta, Butylene Glycol, Niacinamide, Iodopropynyl Butylcarbamate,Caprylic/Capric Triglyceride, Retinol, Palmitoyl Pentapeptide-4"
Night Cream,Forest Essentials Transformative Soundarya Night Cream with 24K Gold,https://www.nykaa.com/forest-essentials-transformative-soundarya-night-cream-with-24k-gold/p/18407362,"Aqua, Sorbitan Olivate & Cetearyl Olivate (Olive oil derived emulsifier), Moringa Oleifera Oil** (Moringa seed oil), Caprylic Capric Triglycerides (Derived from coconut oil), Sesamum Indicum Oil**(Sesame seed oil), Triticum Vulgare Extract (Wheat germ extract), Prunus Amygdalus Dulcis Oil**(Cold pressed sweet almond oil), Ceramide III, Saccharide Isomerate, Polyglutamic Acid, Bakuchiol, Hydrolyzed Manihot Esculenta Tuber Extract, Betaine, Veg Squalane, Propanediol, Xanthan Gum, Hydrolyzed Sodium Hyaluronate (Sodium salt of hyaluronic acid), Folic Acid Ferment Filtrate Extract, Glycerin, Tocopherol Acetate (Vitamin E), Santalum Album Extract (Sandalwood essential oil), Milk, Crocus Sativus Extract (Kesar flower extract), Caprylyl Glycol, Phenoxyethanol, Glycyrrhiza Glabra (Licorice) Root Extract, Hexylene Glycol, Gold Bhasma, Curcuma Longa Root Extract (Turmeric root extract), Withania Somnifera (Ashwagandha) Root Extract, Jasminum Sambac Oil (Jasmine flower oil)."
Night Cream,Murad Retinol Youth Renewal Night Cream,https://www.nykaa.com/murad-retinol-youth-renewal-night-cream/p/6567364,Not Found
Night Cream,"Earth Rhythm Healing Cica Gel, Calms Redness and Fades Acne Scars in 4 Weeks",https://www.nykaa.com/earth-rhythm-healing-cica-gel/p/3720996,"Complete Ingredient List: Centella Asiatica Leaf Extract, Glycyrrhiza Glabra [Licorice] Root Extract, Ginseng Root Extract, Rubus Fruticosus [Blackberry] Extract, Calendula Officinalis [Calendula] Extract, Withania Somnifera [Ashwagandha] Extract, 100% Certified Organic Aloe Juice, Organic Glycerin, Xanthan Gum, Phenoxyethanol (and) Triethylene Gylcol."
Night Cream,"Olay Total Effects Night Cream, Fights 7 Signs Of Ageing With Niacinamide And Green Tea Extracts",https://www.nykaa.com/olay-total-effects-7-in-one-anti-ageing-night-firming-cream-50gm/p/261614,"Vitamin C, Green Tea, Niacinamide, Vitamin E, Panthenol"
Night Cream,Estee Lauder Advanced Night Repair Synchronized Multi-Recovery Complex With Hyaluronic Acid (Serum),https://www.nykaa.com/estee-lauder-advanced-night-repair-synchronized-multi-recovery-complex/p/833283,"Key Ingredients: Tripeptide-32: Estee Lauder's exclusive peptide that supports skin's natural day/night rhythm of protection by day and renewal at night. Sodium Hyaluronate: AKA Hyaluronic Acid, is a ferment that is a powerful moisture magnet."
Night Cream,Clinique Moisture Surge 100h Auto-replenishing Hydrator (Moisturizer),https://www.nykaa.com/clinique-moisture-surge-100h-auto-replenishing-hydrator/p/1129289,"Key Ingredients:- Aloe Bioferment + HA Complex: Combines two hydrating ingredients into one powerhouse complex to help attract moisture and retain it.- Aloe Bioferment: Clinique scientists transformed the aloe vera plant through an exclusive fermentation process. One of the benefits of fermentation is that it breaks apart larger molecules into smaller ones, making them more easily absorbed into skin. Made with lactobacillus, activated aloe water, and responsibly sourced and certified organic aloe extract powder, this nutrient-rich ingredient helps skin retain moisture. - Hyaluronic acid: This moisture-binding ingredient helps create a “moisture reservoir” for ideal hydration. The formula is expertly blended with two different molecular weights of hyaluronic acid.Other key ingredients include:- Activated aloe water: Pure water is infused with aloe barbadensis leaf extract, then supercharged to hold both positive and negative ionic charges.- Auto-Replenishing Technology: Using activated aloe water and caffeine, it helps trigger skin’s own rehydration system.- Blend of vitamins C and E: Helps provide antioxidant protection against daily dehydrators.Full Ingredients List: Water\\Aqua\\Eau, Dimethicone, Butylene Glycol, Glycerin, Trisiloxane, Trehalose, Sucrose, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Hydroxyethyl Urea, Camellia Sinensis (Green Tea) Leaf Extract, Silybum Marianum (Lady'S Thistle) Extract, Betula Alba (Birch) Bark Extract, Saccharomyces Lysate Extract, Aloe Barbadensis Leaf Water, Aloe Barbadensis Leaf Extract, Thermus Thermophillus Ferment, Caffeine, Sorbitol, Palmitoyl Hexapeptide-12, Sodium Hyaluronate, Caprylyl Glycol, Oleth-10, Sodium Polyaspartate, Aloe Barbadensis Leaf Polysaccharides, Lactobacillus Ferment Lysate, Saccharide Isomerate, Hydrogenated Lecithin, Tocopheryl Acetate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Glyceryl Polymethacrylate, Tromethamine, Peg-8, Hexylene Glycol, Magnesium Ascorbyl Phosphate, Citric Acid, Bht, Disodium Edta, Sodium Citrate, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol, Red 4 (Ci 14700), Yellow 5 (Ci 19140)Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.)"
Night Cream,Cetaphil BHR Brightening Night Comfort Cream,https://www.nykaa.com/cetaphil-bhr-brightening-night-comfort-cream/p/1171878,"Aqua, Glycerin, Niacinamide, Butylene Glycol, Hydrogenated Polydecene, 1,2-Hexanediol, Cetearyl Alcohol, Cetearyl Olivate, Cetyl Ethylhexanoate, Sorbitan Olivate, Beeswax, Vinyl Dimethicone, Anhydroxylitol, Citric Acid, Ethylhexylglycerin, Glyceryl Stearate, Hyaluronic Acid, Hydrolyzed Cicer Seed Extract, Hydrolyzed Hyaluronic Acid, Pancratium Maritimum Extract, Pentasodium Pentetate, Propanediol, Rhododendron Chrysanthemum Leaf Extract, Sodium Hyaluronate, Sodium Polyacryloyldimethyl Taurate, Tocopherol, Tricholoma Matsutake Extract, Trideceth-10, Xylitol, Xylitylglucoside"
Night Cream,"Forest Essentials Kumkumadi Night Cream - Night Face Cream with Vitamin C, Kumkumadi Tailam",https://www.nykaa.com/forest-essentials-kumkumadi-teenage-night-cream/p/145231,"Key Ingredients: Kasturi Manjal, Kumkumadi Tailam, Saffron."
